name,location,website_url,classf_L1,classf_L2,classf_L3,classf_L4,revenue,industry,key_people,headquarters,founded,owner,type,area_served
Age UK,,ageuk.org.uk,,,,,,,,United Kingdom,1-Apr-09,,Charity,
Aryzta,,www.aryzta.com,,,,,"€3,820.2 million (2015)",Food,"Gary McGann, (Chairman) Kevin Toland, (CEO)","Zurich, Switzerland",1897,,Public,
Japan Tobacco International,,www.jti.com,,,,,,Tobacco,"Eddy Pirard President and CEO Masamichi Terabatake Deputy CEO, Executive Vice President, Emerging Products & Corporate Strategy","Geneva, Switzerland",1999,,,
AstraZeneca,,www.astrazeneca.com,,,,,US$22.465 billion (2017),Pharmaceutical Biotechnology,Leif Johansson (Chairman) Pascal Soriot (CEO),"Cambridge, England",6 April 1999; 18 years ago (1999-04-06),,Public limited company,
O2,,,,,,,,,,,,,,
BT Group,,www.btplc.com,,,,,£24.062 billion (2017),Telecommunications,Jan du Plessis (Chairman) Gavin Patterson (Chief Executive) Simon Lowth (Group Finance Director),"BT Centre London, EC1 United Kingdom",1969; 49 years ago (1969),,Public limited company,
United Biscuits,,www.unitedbiscuits.com,,,,,"£1,050.0 million (2012)",Food,Jeff van der Eems (CEO),"London, England, UK",1948; 70 years ago (1948),,Private,
Coca-Cola,,www.coca-colacompany.com,,,,,,,,,,,Cola,
Travelex,,www.travelex.co.uk,,,,,£721.5 million (2014),Financial Services,Lloyd Dorfman (Founder),"London, N1 United Kingdom",1976 (1976),"Apax Partners, B. R. Shetty and Lloyd Dorfman",Private limited company,
Johnson & Johnson,,www.jnj.com,,,,,US$76.450 billion (2017),Medical equipment Pharmaceutical,Alex Gorsky (Chairman and CEO) Dominic Caruso (CFO),"One Johnson & Johnson Plaza, New Brunswick, New Jersey, U.S.","January 1886; 132 years ago (1886-01) New Brunswick, New Jersey, United States",,Public,
Lloyds Bank,,www.lloydsbank.com,,,,,,Financial services,Lord Norman Blackwell (Chairman) Antonio Horta-Osorio (CEO),"25 Gresham Street, London, United Kingdom",1765; 253 years ago (1765) (Taylors and Lloyds),,Public limited company,
Brake Bros,,www.brake.co.uk,,,,,,"Non-specialised wholesale food, etc",Hugo Mahoney (CEO - 2018) ,"Ashford, Kent, United Kingdom",,Sysco,Private Limited Company,
Catlin Group,,www.catlin.com,,,,,"$4,400 million (2014)",Insurance/Reinsurance,John Barton (Non-Executive Chairman) Stephen Catlin (CEO),"Hamilton, Bermuda",1984 as Catlin Underwriting Agencies Limited,,Public (LSE: CGL),
Camden Property Trust,,www.camdenliving.com,,,,,$0.900 billion (2017),Real estate investment trust,"Richard J. Campo, Chairman & CEO D. Keith Oden, President","11 Greenway Plaza Houston, Texas",,,Public company,
Cancer Research UK,,www.cancerresearchuk.org,,,,,£634.81 million (2015),,"Harpal Kumar (CEO), Peter Johnson (Chief Clinician), Karen Vousden (Chief Scientist)",,4 February 2002 (2002-02-04),,Charitable organisation,
Coors Brewing Company,,www.coors.com,,,,,US$5 billion in sales,Beverages,Leo Kiely and Peter Swinburn,"Golden, Colorado, United States","1873, 145 years ago",,,
De La Rue,,www.delarue.com,,,,,£454.5 million (2016),Printing,Philip Rogerson (chairman) Martin Sutherland (CEO),"Basingstoke, Hampshire, United Kingdom",1821,,Public limited company,
Gilead Sciences,,www.gilead.com,,,,,US$ 30.40 billion (2016),Pharmaceutics Biotechnology,John F. Milligan (CEO) Robin L. Washington (CFO) John C. Martin (Chairman),"Foster City, California, U.S.",1987; 31 years ago (1987),,Public,
KP Snacks,,www.kpsnacks.com,,,,,,"Snacks, peanuts",,"Slough, United Kingdom","1853, nut production started in 1953",Intersnack,Limited,
